UI_20150317_000001	{@st41b}Impara gli Attributi{nl}dai rispettivi masters di ogni classe.{/}
UI_20150317_000002	{@st43}Lista Attributi {/}
UI_20150317_000003	{@st59}Chiudi{/}
UI_20150317_000004	{@st43}Impara Attributi{/}
UI_20150317_000005	{@st59}Chiudi{/}
UI_20150317_000006	{@st41b}Silver{/}
UI_20150317_000007	I miei Obbiettivi
UI_20150317_000008	Server Ranking
UI_20150317_000009	{@st59}Un evento inaspettato e' accaduto.{/}
UI_20150317_000010	{@st59}C'e' un nuovo messaggio in Aiuto{/}
UI_20150317_000011	{@st41}Sei sicuro di voler creare questo tipo di freccia?{/}
UI_20150317_000012	{@st41b}Una sola{/}
UI_20150317_000013	{@st41b}Tutte{/}
UI_20150317_000014	{@st41b}Pausa{/}
UI_20150317_000015	{@st43}Giornale d'Avventura{/}
UI_20150317_000016	{@st43}Negozio d'Asta{/}
UI_20150317_000017	{@st59}Chiudi{/}
UI_20150317_000018	{@st41b}Oggetti venduti : ×%s, Oggetti non venduti : ×%s{/}
UI_20150317_000019	{@st43}{s22}Asta Oggetti{/}
UI_20150317_000020	{@st59}Chiudi{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}Tempo rimasto
UI_20150317_000023	3 ore 16 minuti
UI_20150317_000024	{@st41b}Prezzo di Partenza
UI_20150317_000025	{@st41b}Offerte
UI_20150317_000026	{@st41b}Prezzo Corrente
UI_20150317_000027	{@st41b}Prezzo Offerto
UI_20150317_000028	{@st41b}Offerta minima da {@st57}%s{@st41b}silver{/}
UI_20150317_000029	{@st41b}Offerta{/}
UI_20150317_000030	{@st43b}Compra Ora!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Impostazioni Permessi{/}
UI_20150317_000032	{@st45}Nome: %s{/}
UI_20150317_000033	{@st45}Deposito Gruppo{/}
UI_20150317_000034	{@st49}No
UI_20150317_000035	{@st49}Deposito
UI_20150317_000036	{@st49}Ritira
UI_20150317_000037	{@st45}Esamina{/}
UI_20150317_000038	{@st49}Crea
UI_20150317_000039	{@st49}Cancella
UI_20150317_000040	{@st44}Salva{/}
UI_20150317_000041	{@st44}Annulla{/}
UI_20150317_000042	{@st43}{s22}Negozio Capigliature{/}
UI_20150317_000043	{@st59}Capigliatura Precedente{/}
UI_20150317_000044	{@st59}Capigliatura Successiva{/}
UI_20150317_000045	{@st41b} Cambia {s18} (100 iCoins richiesti) {/}
UI_20150317_000046	{@st59}Cambia alla capigliatura selezionata.{/}
UI_20150317_000047	{@st41}Annulla
UI_20150317_000048	{@st43}Black Market{/}
UI_20150317_000049	Book Name
UI_20150317_000050	{@St59}Fermati di leggere{/}
UI_20150317_000051	{@st59}Pagina precedente{/}
UI_20150317_000052	{@st59}Pagina successiva{/}
UI_20150317_000053	{@st47}%s e' apparso!
UI_20150317_000054	{@st43}Punteggio{/}
UI_20150317_000055	Danno ricevuto
UI_20150317_000056	Bonus Tecnica
UI_20150317_000057	Bonus Evasione
UI_20150317_000058	Tempo Visibile
UI_20150317_000059	Punteggio Totale
UI_20150317_000060	{@st42}Tempo rimasto
UI_20150317_000061	10 minuti
UI_20150317_000062	10 secondi
UI_20150317_000063	{@st44}Completato
UI_20150317_000064	{@st59}Chiudi{/}
UI_20150317_000065	{@st43}Macchina Vendi-Buff 
UI_20150317_000066	Nome Macchina Vendi-Buff
UI_20150317_000067	{@st43}Registra
UI_20150317_000068	{@st43}Annulla
UI_20150317_000069	Macchina Vendi-Buff
UI_20150317_000070	{@st59}Annulla
UI_20150317_000071	{@st59}Macchina Vendi-Buff{nl} - Puoi pagare silver per ricevere dei buffs da altri giocatori.
UI_20150317_000072	Menu' Trasporto
UI_20150317_000073	{ol}{s22}Scendere{/}
UI_20150317_000074	Casting
UI_20150317_000075	{@st43}Impostazioni Gioco{/}
UI_20150317_000076	{@st64}Usa le freccie direzionali per selezionare!
UI_20150317_000077	{@st43}Informazioni avanzate {/}
UI_20150317_000078	{@st43}Seleziona Classe
UI_20150317_000079	Psychokinesist
UI_20150317_000080	{@st42}%s Rango {/}
UI_20150317_000081	Quanti Ranghi
UI_20150317_000082	Mostra una breve descrizione della Classe.
